Timestamp,ins.pitch,Timestamp,LQRXObsBuf[0][4],Timestamp,LQRXObsBuf[0][5],Timestamp,LQRXObsBuf[1][4],Timestamp,LQRXObsBuf[1][5],
8046470,20.1451,8046470,0.351582,8046470,-0.000299419,8046470,0.351651,8046470,7.24284e-05,
8078262,20.1522,8078262,0.351691,8078262,-0.000280827,8078262,0.351681,8078262,-0.000132088,
8111262,20.1599,8111262,0.351778,8111262,-0.000113495,8111262,0.351749,8111262,3.52437e-05,
8129371,20.21,8129371,0.352644,8129371,-9.49029e-05,8129371,0.352417,8129371,-0.000299419,
8162183,20.2564,8162183,0.35345,8162183,-7.63106e-05,8162183,0.353348,8162183,-3.91258e-05,
8192879,20.2759,8192879,0.353809,8192879,-0.000355196,8192879,0.353823,8192879,-2.05335e-05,
8221726,20.309,8221726,0.354332,8221726,-3.91258e-05,8221726,0.354227,8221726,-0.000318011,
8254541,20.3451,8254541,0.354923,8254541,0.000295537,8254541,0.354766,8254541,0.000314129,
8283534,20.3876,8283534,0.355707,8283534,0.000128206,8283534,0.355567,8283534,0.000295537,
8313477,20.4362,8313477,0.356553,8313477,5.3836e-05,8313477,0.356395,8313477,-0.000262234,
8345056,20.4658,8345056,0.35711,8345056,-0.000113495,8345056,0.357027,8345056,0.000221167,
8375963,20.4892,8375963,0.35759,8375963,0.000295537,8375963,0.357553,8375963,-2.05335e-05,
8407580,20.5025,8407580,0.357816,8407580,-0.00022505,8407580,0.357796,8407580,0.000146798,
8440438,20.5261,8440438,0.358245,8440438,1.66513e-05,8440438,0.358186,8440438,-9.49029e-05,
8470823,20.539,8470823,0.358466,8470823,-1.94109e-06,8470823,0.358442,8470823,-5.77182e-05,
8503546,20.5496,8503546,0.358665,8503546,-0.000206457,8503546,0.358606,8503546,5.3836e-05,
8534388,20.5547,8534388,0.358752,8534388,9.10208e-05,8534388,0.358757,8534388,0.000109613,
8565458,20.5483,8565458,0.358657,8565458,-0.000355196,8565458,0.358676,8565458,-0.000429566,
8596125,20.54,8596125,0.358509,8596125,-0.00022505,8596125,0.358555,8596125,5.3836e-05,
8628218,20.5332,8628218,0.358413,8628218,0.000109613,8628218,0.358467,8628218,-0.000299419,
8659721,20.5097,8659721,0.358047,8659721,-0.00015068,8659721,0.358104,8659721,-0.000243642,
8689343,20.4841,8689343,0.357558,8689343,-0.000280827,8689343,0.35759,8689343,-0.00015068,
8719562,20.4679,8719562,0.357279,8719562,-0.000206457,8719562,0.35732,8719562,-0.000318011,
8751776,20.4536,8751776,0.357037,8751776,3.52437e-05,8751776,0.357052,8751776,-0.000318011,
8783399,20.4427,8783399,0.356817,8783399,0.00016539,8783399,0.356837,8783399,-0.000132088,
8813402,20.4278,8813402,0.356572,8813402,-0.000206457,8813402,0.356636,8813402,-0.000262234,
8844276,20.4139,8844276,0.356317,8844276,-0.000113495,8844276,0.356344,8844276,-0.000392381,
8875440,20.3887,8875440,0.355911,8875440,-0.000206457,8875440,0.355998,8875440,9.10208e-05,
8907530,20.3549,8907530,0.355353,8907530,-0.000410973,8907530,0.355486,8907530,-0.000410973,
8939611,20.3372,8939611,0.354988,8939611,-0.00022505,8939611,0.355032,8939611,-0.000522527,
8972008,20.3208,8972008,0.3547,8972008,5.3836e-05,8972008,0.354758,8972008,7.24284e-05,
9000972,20.3069,9000972,0.354442,9000972,-9.49029e-05,9000972,0.354498,9000972,-0.000113495,
